prod_id,fixed_cost,variable_cost,sales_price,salvage_value,demand,order,profit
67,608.0,6.92,16.4,0.16,2192.0,2186.0,20115.279999999995
31,986.0,11.02,24.39,9.04,1585.0,1696.0,19985.670000000006
74,800.0,5.67,13.14,1.65,2894.0,3123.0,19897.600000000002
38,692.0,10.12,20.19,6.55,2082.0,2210.0,19816.780000000006
21,923.0,9.86,21.12,4.06,1831.0,1801.0,19356.260000000002
64,703.0,4.58,10.56,7.3,3195.0,3481.0,19181.020000000008
34,751.0,6.59,16.75,0.78,2054.0,2237.0,19054.409999999996
88,771.0,7.84,18.0,2.94,1987.0,2089.0,18917.119999999995
79,796.0,8.95,18.4,4.88,2085.0,2066.0,18727.699999999997
95,915.0,6.85,18.84,4.87,1647.0,1636.0,18700.64
56,736.0,8.28,19.44,3.61,1785.0,1905.0,18624.199999999997
73,761.0,5.26,13.02,0.19,2497.0,2508.0,18559.949999999997
62,737.0,8.51,18.09,4.78,1944.0,1943.0,17876.940000000002
91,707.0,10.39,24.56,1.41,1569.0,1311.0,17869.87
25,732.0,6.17,15.91,3.72,1912.0,1998.0,17680.18
27,828.0,8.38,18.86,5.44,1855.0,2203.0,17589.279999999995
8,728.0,5.37,13.25,3.34,2348.0,2576.0,17311.4
80,731.0,5.56,13.02,3.53,2449.0,2413.0,17269.98
98,857.0,10.78,20.57,5.74,1875.0,1954.0,17101.09
33,776.0,7.47,17.63,2.68,1914.0,1724.0,16739.84
5,786.0,7.82,19.24,4.32,1664.0,1496.0,16298.319999999996
93,753.0,7.16,15.82,0.03,1988.0,2130.0,15450.619999999997
58,810.0,6.04,11.86,4.52,2779.0,2753.0,15212.46
26,890.0,9.65,23.39,4.66,1211.0,1389.0,14860.92
87,648.0,5.87,12.39,0.91,2382.0,2377.0,14850.040000000003
4,806.0,6.73,13.02,-0.74,2496.0,2465.0,14698.849999999999
0,756.0,6.99,15.47,5.34,1886.0,1809.0,14584.32
17,839.0,6.48,14.79,3.13,1838.0,1981.0,13955.729999999996
40,836.0,7.22,13.56,0.93,2457.0,2331.0,13942.54
51,754.0,7.5,14.99,5.38,2135.0,2752.0,13929.11
20,747.0,9.94,23.38,2.24,1131.0,1082.0,13795.08
97,624.0,11.05,19.31,3.12,2051.0,2397.0,13573.479999999992
63,876.0,4.27,10.86,-0.74,2156.0,2155.0,13325.45
43,859.0,6.33,14.77,1.74,1731.0,1844.0,13231.969999999998
19,802.0,6.4,14.55,2.97,1679.0,1706.0,12789.239999999998
96,673.0,10.35,19.07,3.47,1551.0,1603.0,12493.96
92,636.0,4.94,11.74,0.18,1857.0,1866.0,11948.759999999998
76,667.0,6.87,13.25,0.67,2052.0,1962.0,11850.56
12,767.0,5.37,11.45,-0.27,2121.0,2207.0,11643.639999999996
90,782.0,8.82,19.22,7.78,1194.0,1633.0,11179.039999999997
10,745.0,5.9,13.69,3.63,1648.0,2059.0,11159.949999999999
65,825.0,6.97,12.46,4.67,2265.0,2587.0,10869.250000000004
6,676.0,7.11,15.28,0.19,1369.0,1373.0,10481.049999999997
86,820.0,7.89,15.08,2.81,1835.0,2233.0,10351.810000000001
30,644.0,7.85,15.06,3.69,1442.0,1441.0,9745.609999999999
41,627.0,5.97,11.62,2.26,1893.0,1711.0,9040.15
15,710.0,7.08,14.76,2.9,1294.0,1528.0,8249.799999999997
81,628.0,8.64,17.27,6.4,909.0,922.0,7187.549999999999
84,929.0,4.23,10.29,1.17,1333.0,1424.0,6870.519999999999
9,823.0,4.93,7.73,4.68,1692.0,1678.0,3875.4000000000015
